3107
8883
12903
13271
15444
15834
18252
20162
31260
89110
129649
133349
155289
159189
183459
202773
23718
23718
40449
40832
47357
238333
238333
406128
409958
475339
Len + 47357; Len -  124952; ratio 2.638511730050468
Epoch 19, Batch 300 | Val Acc: 0.8200 | Val PosAcc: 0.9138 | Val NegAcc: 0.7844
Epoch 19, Batch 320 | Val Acc: 0.8199 | Val PosAcc: 0.9168 | Val NegAcc: 0.7828
Epoch 19, Batch 340 | Val Acc: 0.8195 | Val PosAcc: 0.9187 | Val NegAcc: 0.7817
Epoch 19, Batch 360 | Val Acc: 0.8205 | Val PosAcc: 0.9208 | Val NegAcc: 0.7823
Epoch 19, Batch 380 | Val Acc: 0.8220 | Val PosAcc: 0.9217 | Val NegAcc: 0.7838
Epoch 19, Batch 400 | Val Acc: 0.8206 | Val PosAcc: 0.9208 | Val NegAcc: 0.7824
Epoch 19, Batch 420 | Val Acc: 0.8217 | Val PosAcc: 0.9179 | Val NegAcc: 0.7851
Epoch 19, Batch 440 | Val Acc: 0.8219 | Val PosAcc: 0.9190 | Val NegAcc: 0.7847
Epoch 19, Batch 460 | Val Acc: 0.8239 | Val PosAcc: 0.9216 | Val NegAcc: 0.7865
Epoch 19, Batch 480 | Val Acc: 0.8229 | Val PosAcc: 0.9176 | Val NegAcc: 0.7864
Epoch 19, Batch 500 | Val Acc: 0.8230 | Val PosAcc: nan | Val NegAcc: 0.7869
Epoch 19, Batch 520 | Val Acc: 0.8214 | Val PosAcc: 0.9197 | Val NegAcc: 0.7835
Epoch 19, Batch 540 | Val Acc: 0.8220 | Val PosAcc: 0.9202 | Val NegAcc: 0.7841
Epoch 19, Batch 560 | Val Acc: 0.8196 | Val PosAcc: 0.9207 | Val NegAcc: 0.7806
Epoch 19, Batch 580 | Val Acc: 0.8203 | Val PosAcc: 0.9214 | Val NegAcc: 0.7810
Epoch 19, Batch 600 | Val Acc: 0.8183 | Val PosAcc: 0.9215 | Val NegAcc: 0.7785
Epoch 19, Batch 620 | Val Acc: 0.8187 | Val PosAcc: 0.9229 | Val NegAcc: 0.7783
Epoch 19, Batch 640 | Val Acc: 0.8186 | Val PosAcc: 0.9207 | Val NegAcc: 0.7787
Epoch 19, Batch 660 | Val Acc: 0.8199 | Val PosAcc: 0.9205 | Val NegAcc: 0.7805
Epoch 19, Batch 680 | Val Acc: 0.8208 | Val PosAcc: 0.9208 | Val NegAcc: 0.7818
